,Strike Price,Date,Open,High,Low,Close,Volume
15218,9100,2018-05-23,10.0,10.5,9.4,10.5,108.0
15219,9200,2018-05-23,11.0,14.0,11.0,14.0,180.0
15220,9300,2018-05-23,13.0,14.5,12.5,14.5,206.0
15221,9400,2018-05-23,14.0,19.5,14.0,19.5,108.0
15222,9500,2018-05-23,16.0,23.0,16.0,23.0,120.0
15223,9600,2018-05-23,18.0,26.0,18.0,25.5,122.0
15224,9700,2018-05-23,22.0,29.5,22.0,29.5,104.0
15225,9800,2018-05-23,26.0,37.5,26.0,37.5,104.0
15226,9900,2018-05-23,900.0,900.0,28.0,42.0,294.0
15227,10000,2018-05-24,49.0,49.0,37.0,47.5,482.0
15228,10100,2018-05-24,67.0,67.0,47.5,61.0,198.0
15229,10200,2018-05-24,75.0,76.0,59.0,75.0,240.0
15230,10300,2018-05-24,88.0,99.0,76.0,91.0,300.0
15231,10400,2018-05-24,120.0,123.0,95.0,123.0,212.0
15232,10500,2018-05-24,159.0,161.0,122.0,149.0,178.0
15233,10600,2018-05-24,183.0,191.0,155.0,178.0,132.0
15234,10700,2018-05-24,248.0,248.0,200.0,238.0,58.0
15235,10800,2018-05-24,295.0,295.0,260.0,280.0,84.0
15236,10900,2018-05-24,369.0,369.0,318.0,318.0,44.0
15237,11000,2018-05-24,420.0,420.0,388.0,388.0,124.0
15238,11200,2018-05-24,585.0,585.0,545.0,545.0,32.0
15239,11300,2018-05-24,650.0,650.0,650.0,650.0,4.0
15240,11400,2018-05-24,755.0,755.0,745.0,745.0,4.0
